Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
......81..1......7...7..4...84.6...2.6...43....92.7..6......2.8392..1.7..4....13.,27,54,0,0,0,0,0,0,0,Simple,
..8..6..3..1.8.29..26.5....3195..........9....6..71....92.6.....5..37......1...75,27,54,0,0,0,0,0,0,0,Simple,
..........7.....94....9..52.158.4..74..7...21...5.....3.........84.2.3191.9.7.4..,27,54,0,0,0,0,0,0,0,Simple,
...1.3.......6...7..3...5.62.....3.1..798..5......287.5..3.698.....9....8...5.21.,27,54,0,0,0,0,0,0,0,Simple,
8..4.15......5..8..62..7....48.7.16.7..5...4......9..8...89..1..3.2.......4......,25,56,0,0,0,0,0,0,0,Simple,
4......8.1..382..........2.54.6.....2......3.96.5.81....9..5.......1.......93..46,24,57,0,0,0,0,0,0,0,Simple,
...7.....1..5.97.66....1.2.5.2....897....8....89....3..5.........6....92973..6...,26,55,0,0,0,0,0,0,0,Simple,
....69..4..1347..8...1......53..8.71..7....95..6.9.48.5..83.....3......6..9......,27,54,0,0,0,0,0,0,0,Simple,
.1....98...682..1.5.3..7...8.7..32....9.............619......2.....79..3..2...8..,24,57,0,0,0,0,0,0,0,Simple,
69..1.....5.274....37..5.....6..3.2.4.....3....16.9...96..4...2...7..6..........5,25,56,0,0,0,0,0,0,0,Simple,
2.57..369.....57....49....26......4.9............2.5..3.1..9....4.5...1.....6..7.,24,57,0,0,0,0,0,0,0,Simple,
7.58....6...4.........3617.4..5.3....9.....3.5...1.7.....7.46.......8.4.....59..1,25,56,0,0,0,0,0,0,0,Simple,
.91...4.846.9..1..5..2..9............4..18..5..8..5.2361...3...8..........9...2..,25,56,0,0,0,0,0,0,0,Simple,
...4..5..8.1..5.......7921.14.8....5.27..4...5.823..7..........4....3...3.9.....1,26,55,0,0,0,0,0,0,0,Simple,
...7.84...1..54....8....172...1....534.....1.....39........5..9....7...37.8.9..2.,25,56,0,0,0,0,0,0,0,Simple,
....8...2...3.51.8...91.......236....64...9..8......3.......68..2.1.8..9...65...3,25,56,0,0,0,0,0,0,0,Simple,
...1..9..2.1.........83.7.............57...8...9.653...6..9.5...7.5..82..3.27....,24,57,0,0,0,0,0,0,0,Simple,
.7..5.6..3..1..9.......4.3.....6..95...81.............96..4.1....397..8.5.73.....,24,57,0,0,0,0,0,0,0,Simple,
......8...3.......87......9.........5..9.24.69.4..6...7..4...8...6.9.73.2...85.6.,24,57,0,0,0,0,0,0,0,Simple,
.917....3.3.2..57...6........9..52...6......927....3.....6..9....75...1.......6.8,24,57,0,0,0,0,0,0,0,Simple,
92..6.........1..9.8..7........572.6......45....4.9.87.6.5..7....584..2........1.,25,56,0,0,0,0,0,0,0,Simple,
5...4...8....72....348..9...583..4.62..49.8...6.2...3.7..5........7.......9..8...,26,55,0,0,0,0,0,0,0,Simple,
.8..39..6....67..4..95.......5..31..47..8.9..316.5..4....6....3...87....9........,26,55,0,0,0,0,0,0,0,Simple,
..42.78........9.53.2...47.....9.5..457.....88........9.8.....1.........7.1..524.,25,56,0,0,0,0,0,0,0,Simple,
3..8.6.......53.....1........9.182.6..524.3....4.....959...2...2..4659...46......,27,54,0,0,0,0,0,0,0,Simple,
9.........4...1..9.286......6..439.1...1....8....2......2..41..8..3.9..2.3.78....,25,56,0,0,0,0,0,0,0,Simple,
4.56...8.2.1...945.8....6........8....43...1.32......41....35.......81.6....56...,26,55,0,0,0,0,0,0,0,Simple,
.....95........43..32..8.91....4...7798.1......1...3........2......84.59..75.2.4.,26,55,0,0,0,0,0,0,0,Simple,
.......741..7..3.5......1........8.7.9.5...6..87..9..3..894.7..41........5....9.1,25,56,0,0,0,0,0,0,0,Simple,
...8.4...4.95.........27..12..........59167..8.........6.1...4..72......9.....5.2,23,58,0,0,0,0,0,0,0,Simple,
...4.8....35..........937.4.2......56.83......7..56...867...9..5..9...8..93..7...,26,55,0,0,0,0,0,0,0,Simple,
9.....4.......1...4719....236.....7...2.....8...21...67.3......1...72.8..94.....3,25,56,0,0,0,0,0,0,0,Simple,
4269......1..8....3.9..6.........65....5.4......8....4.42..8..1.6.413...5...9....,25,56,0,0,0,0,0,0,0,Simple,
14.2.8............9.53.6..1.9.......8..1....9......354513...24.6.......5..2....8.,25,56,0,0,0,0,0,0,0,Simple,
4..3......3.52.7..8....7..5.5.4.......6.7..2...7..1......6....4.8...3...1.284....,24,57,0,0,0,0,0,0,0,Simple,
8..........31.27.6..26.8...27.3.6...3....7.....6.4......7.....25........6.12534.7,27,54,0,0,0,0,0,0,0,Simple,
6.4.17....17..28..3.......24......9..76...2.8.8....63.8..........1...3.7.32..8...,26,55,0,0,0,0,0,0,0,Simple,
..1...2.3...6....4..6..49..2.......5...791.2..172.3..6..2...5....4..9.....9..6..7,26,55,0,0,0,0,0,0,0,Simple,
1.4.6.....8.......6398...14.....6...9.....2..........5..5.1.8....164...93...8.52.,25,56,0,0,0,0,0,0,0,Simple,
...549...6.9....4....62..7...6.5....72536....9..7.8...2...8....3.4....95..7......,26,55,0,0,0,0,0,0,0,Simple,
..6.8.79..8.....6.2.4.....3..897.2..5.7........2....3.........973942.8........5..,25,56,0,0,0,0,0,0,0,Simple,
1..3..4...8...4.3...3....87.......6.4.1.......78......8...5.7...6..79..1.976..35.,26,55,0,0,0,0,0,0,0,Simple,
.9..12......8.7.9..8....14.41..792.3.....3....2....7.....3.........25..9...4.1.5.,25,56,0,0,0,0,0,0,0,Simple,
7......955..3.17....9.8..24.712.......5.....9..........12..3.8.94...7.5........3.,25,56,0,0,0,0,0,0,0,Simple,
.3.74...5..425.8..7.6..8.1..1.4....76...325..4......6....6.5.........4..5.8......,26,55,0,0,0,0,0,0,0,Simple,
.15..69...6.9..5.278.3....6.....5......7......2...3...37.2..1...5..716...91...2..,27,54,0,0,0,0,0,0,0,Simple,
39.5.1.....47.9...7...8....148..2.....2......9....84.....91...5.....57.8.27..4...,26,55,0,0,0,0,0,0,0,Simple,
471..3.9..6....5.8....97....5..36...6...1985..1958...7......6.........818......43,29,52,0,0,0,0,0,0,0,Simple,
..67...91.......352....6........17.29......43.5..3.1..7.......4..5....7.413..5...,25,56,0,0,0,0,0,0,0,Simple,
..5.....371.....469...25.7...76.12.4.5..37.1....2.......6.......3..9.........3..5,25,56,0,0,0,0,0,0,0,Simple,
68............6.5..3.52..1.1.......9...6.4.2....932...4....5.....2......819.4.3..,24,57,0,0,0,0,0,0,0,Simple,
64..5...............3...798....14.7.1..3.96........9....49..8.....1...4.9.1..85.3,25,56,0,0,0,0,0,0,0,Simple,
..1..74..65.....1.......8.3.4..81.....8.......32...7...1...6287.....81.4.....3.5.,25,56,0,0,0,0,0,0,0,Simple,
6....4...9..63..2.5..8.9.3....94...6....2...3.....5..7....78....2.3....9.58......,24,57,0,0,0,0,0,0,0,Simple,
..4..21.88....3....6279..347.........4...............63..4..7.1.1.....42.8..6...3,25,56,0,0,0,0,0,0,0,Simple,
...3...67...6.......89...1..54...6.1..3..678.....9.......81.9..395.......16...54.,26,55,0,0,0,0,0,0,0,Simple,
.2....3.........27....7.5.9.45..2.8...28.3.5..31..49........17.......8.5.7..95..4,27,54,0,0,0,0,0,0,0,Simple,
2.1.9.3..3..5..6....972...54...5.13...52....7....61.....7.....2......4.1.........,24,57,0,0,0,0,0,0,0,Simple,
...6.15.2.1..5.94.....496..1.7......426.......53......7...94.....253.1...6..2.4..,28,53,0,0,0,0,0,0,0,Simple,
.27....8.......162......4.....24....1....3...8.2....3439....67..78....2..61.8.3.9,27,54,0,0,0,0,0,0,0,Simple,
..1.........25..8......34.5....48.3....61.9...4..95..8...524.9......9..4..2..61..,26,55,0,0,0,0,0,0,0,Simple,
21.8..6..9...5......3..67..5.798....86.2.7....3....9.......8.73...........8.21...,25,56,0,0,0,0,0,0,0,Simple,
......235.1.......98.2..41..95..486.4...5.....6...81..62..8..4................92.,25,56,0,0,0,0,0,0,0,Simple,
7.1...5..53.1..8...9256...718...........7..69...3.....9.....6..3.8.......6.8.4...,25,56,0,0,0,0,0,0,0,Simple,
1.2.658.......1.728.692..15..5.9..67....76.2....1...4....8.7..............924....,28,53,0,0,0,0,0,0,0,Simple,
.7.4..6.2....32..1.3.....4....96.4.......1..976...5........42....1357.9.....9...6,26,55,0,0,0,0,0,0,0,Simple,
6...4.....1...3..6....95...5....6...4..2..1..1...59.....4.2...13.5...47..2..7..63,26,55,0,0,0,0,0,0,0,Simple,
.....4.853........92.8...4...........1...5....4....95..921....8.3.7...9.1..4.327.,25,56,0,0,0,0,0,0,0,Simple,
...9.......3.4.1868.63.2.4........9......3.....7...4.3.7....6...648.73.2.3..9....,26,55,0,0,0,0,0,0,0,Simple,
2.53........26..1.....19.2...38....9..7......8.2657.....9.2.....5....7....89.6...,25,56,0,0,0,0,0,0,0,Simple,
....9....8........6.4..2.....9.83.45..3.7.28...5...67.4.69......7..48....5.3.67..,27,54,0,0,0,0,0,0,0,Simple,
.879...5.......39.6.2....78.65..28.7..4......9..4..536.4...9...8.....2....9....6.,27,54,0,0,0,0,0,0,0,Simple,
..4.1.....1.4.87.33.26.....25..6......3..7.8...8.234...47.....68.......76.1......,27,54,0,0,0,0,0,0,0,Simple,
...7.......7...94..2..5.3........8....1279..4....13.......28.7.9.....1..2..54..8.,24,57,0,0,0,0,0,0,0,Simple,
..364..1..79........6..7..5...4..5.9.....54.......3....8.7.....9.7318...41.5.9...,26,55,0,0,0,0,0,0,0,Simple,
.926...1......1.4...1432.7.93..7......8..........1.83.....897..6......291...6....,26,55,0,0,0,0,0,0,0,Simple,
2......3.......9.2.31........51.762.1....6..4.6...975...35.2...6...31.75..9.4....,28,53,0,0,0,0,0,0,0,Simple,
.4.....2.6.7.19.8418...............6.1.8.....2..4...5..9.574...82.16....4.....51.,27,54,0,0,0,0,0,0,0,Simple,
......3.77...3894.4..1.7.2.6....31.8..8..97...9..2...38...........6.1...2..4.....,26,55,0,0,0,0,0,0,0,Simple,
43...82..21....7...78....6134.7.1....8...21.51..685......83...4.................8,27,54,0,0,0,0,0,0,0,Simple,
